City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hanstholm,57.1167,8.6167,36,3,0,8.21,DK,1615934081
Bambous Virieux,-20.3428,57.7575,78.8,78,75,8.05,MU,1615934082
Nueva Guinea,11.6876,-84.4562,78.28,65,84,9.75,NI,1615934082
Boa Vista,2.8197,-60.6733,82.4,69,40,9.22,BR,1615934244
Virginia Beach,36.8529,-75.978,46.4,87,90,8.05,US,1615934281
Busselton,-33.65,115.3333,65.73,58,0,2.1,AU,1615934367
Saskylakh,71.9167,114.0833,-42.07,95,88,8.57,RU,1615934368
Mukhen,48.1,136.1,18.73,87,100,8.37,RU,1615934085
Ushuaia,-54.8,-68.3,46.4,66,40,27.63,AR,1615934086
Meulaboh,4.1363,96.1285,77,89,99,7.2,ID,1615934086
Morondava,-20.2833,44.2833,79.39,80,65,5.84,MG,1615934087
Hasaki,35.7333,140.8333,50,71,20,3.44,JP,1615934088
Dale,38.1689,-86.99,57.2,76,1,6.91,US,1615934088
Ribeira Grande,38.5167,-28.7,62.6,94,40,16.11,PT,1615934089
Ol'ga,43.7444,135.2892,30.38,52,48,14.9,RU,1615934090
Merauke,-8.4667,140.3333,82.45,78,100,5.12,ID,1615934090
Bluff,-46.6,168.3333,57.99,69,77,18.99,NZ,1615934091
Vaini,-21.2,-175.2,78.8,78,20,11.5,TO,1615934091
Port Augusta,-32.5,137.7667,66.99,88,0,4.61,AU,1615934092
Mataura,-46.1927,168.8643,57.99,69,100,18.99,NZ,1615934093
Luba,3.4568,8.5547,78.8,89,20,2.3,GQ,1615934093
Kapaa,22.0752,-159.319,73.4,88,90,24.16,US,1615934094
Arraial do Cabo,-22.9661,-42.0278,77,69,40,5.75,BR,1615934095
Seymchan,62.8833,152.4333,-1.66,80,6,3.18,RU,1615934095
Luanda,-8.8368,13.2343,78.8,78,75,2.01,AO,1615934097
Lüderitz,-26.6481,15.1594,62.78,84,0,11.45,NA,1615934098
Amberley,39.2048,-84.428,55.4,71,90,5.75,US,1615934099
Chui,-33.6971,-53.4616,72.82,87,92,11.56,UY,1615934099
Orange Cove,36.6244,-119.3137,57.99,53,65,4,US,1615934100
Aden,12.7794,45.0367,78.21,73,3,18.75,YE,1615933915
Esperance,-33.8667,121.9,60.8,72,84,16.11,AU,1615934102
Rikitea,-23.1203,-134.9692,80.49,74,68,8.61,PF,1615934102
Lexington,37.9887,-84.4777,68,45,20,9.22,US,1615934103
Laguna,38.421,-121.4238,62.01,41,1,8.05,US,1615934103
Hermanus,-34.4187,19.2345,60.01,87,16,11.88,ZA,1615934104
Punta Arenas,-53.15,-70.9167,50,66,75,23.02,CL,1615933989
Cape Town,-33.9258,18.4232,64.4,72,0,17.27,ZA,1615934105
Castro,-24.7911,-50.0119,66.13,89,11,3.71,BR,1615934106
Todos Santos,23.45,-110.2167,69.01,72,0,5.99,MX,1615934107
Pisco,-13.7,-76.2167,77,61,75,18.41,PE,1615934075
Valdivia,-39.8142,-73.2459,66.2,48,5,8.05,CL,1615933938
Norman Wells,65.282,-126.8329,-4,71,75,2.3,CA,1615934108
Jamestown,42.097,-79.2353,41,60,40,4.76,US,1615933851
Hobart,-42.8794,147.3294,55.99,82,20,8.05,AU,1615933980
Mar del Plata,-38.0023,-57.5575,66.2,100,90,3.44,AR,1615934351
Kisangani,0.5167,25.2,69.39,98,100,3,CD,1615934387
Dano,11.15,-3.0667,86.25,19,34,4.14,BF,1615934388
Knysna,-34.0363,23.0471,62.6,88,90,2.3,ZA,1615934143
Albany,42.6001,-73.9662,32,29,99,3.91,US,1615933922
Zhob,31.3411,69.4481,55.53,30,0,1.14,PK,1615934144
Hofn,64.2539,-15.2082,42.17,73,85,1.28,IS,1615934425
Saint-Philippe,-21.3585,55.7679,75.2,69,20,5.75,RE,1615934426
Thompson,55.7435,-97.8558,33.8,27,20,10.36,CA,1615934146
